section,address,lat,lng,unit_PRICE,PRICE,health,total_size,land_size,n_land,n_build,n_park,district_id,date,built_date,floor,total_floor,build_state,use,is.comp,is.manage,is.furn,n_room,n_hall,n_bath,id
2015Q1,臺北市中山區中山北路二段45巷1~30號,25.0545318,121.5230594,298.93770351785616,56e3,0,187.33,0,0,1,0,11,2014-10-31,1977-10-26,4,7,6,2,FALSE,FALSE,FALSE,0,0,0,1
2015Q1,臺北市信義區莊敬路271~300號,25.0290837,121.5628576,472.7238347357474,5e4,1,105.77,21.57,1,1,0,10,2014-10-11,1981-09-07,1,7,3,2,TRUE,TRUE,FALSE,0,0,1,2
2015Q1,臺北市大同區南京西路18巷1~30號,25.05117,121.520123,1247.0023980815347,145600,0,116.76,0,0,2,0,3,2014-10-31,NA,1,4,3,-1,FALSE,FALSE,FALSE,0,0,0,3
2015Q1,臺北市大同區市民大道一段181~210號,25.048493,121.5187377,508.5823267641448,24e3,1,47.19000000000001,9.27,0,1,0,3,2014-10-27,2009-07-24,7,18,10,1,TRUE,TRUE,TRUE,0,0,1,4
2015Q1,臺北市士林區中山北路六段157巷1~30號,25.1067274,121.5247651,394.8713323713324,65675,1,166.32,0,0,1,1,6,2014-10-30,2008-10-02,4,15,10,-1,TRUE,TRUE,TRUE,3,1,1,5
2015Q1,臺北市大安區通化街241~30號,25.0258269,121.553216,623.768877216021,76e3,1,121.84,0,0,1,0,2,2014-10-27,NA,1,5,5,-1,TRUE,FALSE,TRUE,2,0,1,6
2015Q1,臺北市大安區忠孝東路四段223巷71弄1~30號,25.04404,121.552707,320.8801283520514,42e3,2,130.89,0,0,1,0,2,2014-10-30,1986-12-29,4,7,6,1,TRUE,TRUE,TRUE,3,2,2,7
2015Q1,臺北市大安區和平東路三段121~150號,25.0246281,121.5516898,316.753702593956,37e3,1,116.81,116.81,0,1,0,2,2014-10-17,1980-11-17,4,12,1,2,TRUE,TRUE,FALSE,2,1,1,8
2015Q1,臺北市大安區信義路三段134巷1~30號,25.0292693,121.5395725,269.03636067177564,33e3,2,122.66,0,0,1,0,2,2014-10-30,1972-09-08,4,6,6,1,TRUE,TRUE,TRUE,3,2,2,9
2015Q1,臺北市大安區大安路一段181~210號,25.0363155,121.5461729,746.7144563918758,25e3,1,33.48,0,0,1,0,2,2014-10-31,2008-10-28,3,12,10,1,TRUE,TRUE,TRUE,1,1,1,10
2015Q1,臺北市中山區中山北路一段121~150號,25.051347,121.522657,1234.974477194138,6e5,1,485.84,145,2,1,0,11,2014-09-03,NA,-1,4,9,-1,TRUE,FALSE,TRUE,1,4,1,11
2015Q1,臺北市中正區重慶南路一段31~60號,25.045451,121.513395,209.97060411542384,35e3,1,166.69,333.38,1,1,0,12,2014-11-01,NA,3,4,5,-1,TRUE,FALSE,TRUE,1,1,1,12
2015Q1,臺北市大同區市民大道一段181~210號,25.048493,121.5187377,501.74216027874564,36e3,1,71.75,0,0,1,0,3,2014-10-31,2009-07-24,14,18,10,1,TRUE,TRUE,TRUE,2,1,1,13
2015Q1,臺北市中正區金山南路一段121~150號,25.0360636,121.52785540000001,202.98091979353939,35e3,1,172.43,0,0,1,0,12,2014-10-03,1980-11-05,1,7,6,-1,TRUE,FALSE,TRUE,0,1,1,14
2015Q1,臺北市南港區舊莊街一段91巷16弄1~30號,25.0410478,121.619879,168.3029453015428,24e3,2,142.6,0,1,1,1,4,2014-11-02,1999-12-06,2,9,6,1,TRUE,TRUE,TRUE,3,2,2,15
2015Q1,臺北市信義區忠孝東路五段481~510號,25.041004,121.577475,333.7068268453274,28889,0,86.57000000000002,0,0,1,0,10,2014-10-20,1993-05-14,1,17,1,2,FALSE,FALSE,TRUE,0,0,0,16
2015Q1,臺北市中山區松江路361~390號,25.0636359,121.533545,261.6978959489166,25e3,0,95.53,0,0,1,0,11,2014-11-01,1991-04-12,5,7,6,2,FALSE,FALSE,FALSE,0,0,0,17
2015Q1,臺北市中山區民生東路一段1~30號,25.0582153,121.524294,612.9328838492185,4e4,1,65.26,0,0,1,0,11,2014-10-31,2006-10-12,12,12,10,2,TRUE,TRUE,TRUE,1,1,1,18
2015Q1,臺北市中山區雙城街13巷1~30號,25.06417,121.5245646,578.1648896230665,38500,1,66.59,0,0,1,0,11,2014-10-23,2013-12-31,7,11,10,1,TRUE,TRUE,TRUE,1,1,1,19
2015Q1,臺北市內湖區安美街181~210號,25.0601572,121.6012437,238.89519436634257,185225,0,775.3399999999998,0,0,0,5,5,2014-10-28,2006-07-13,1,6,2,3,FALSE,TRUE,FALSE,0,0,0,20
