SiteName,UVI,PublishAgency,County,WGS84Lon,WGS84Lat,PublishTime
花蓮,0.00,中央氣象局,花蓮縣,"121,36,48","23,58,30",2018-03-19 01:00
馬祖,0.00,中央氣象局,連江縣,"119,55,24","26,10,09",2018-03-19 01:00
高雄,0.00,中央氣象局,高雄市,"120,18,57","22,33,58",2018-03-19 01:00
玉山,0.00,中央氣象局,南投縣,"120,57,34","23,29,15",2018-03-19 01:00
臺南,0.00,中央氣象局,臺南市,"120,12,17","22,59,36",2018-03-19 01:00
新竹,0.00,中央氣象局,新竹縣,"121,00,51","24,49,40",2018-03-19 01:00
鞍部,0.00,中央氣象局,臺北市,"121,31,47","25,10,57",2018-03-19 01:00
恆春,0.00,中央氣象局,屏東縣,"120,44,47","22,00,14",2018-03-19 01:00
臺北,0.00,中央氣象局,臺北市,"121,30,53","25,02,16",2018-03-19 01:00
成功,0.00,中央氣象局,臺東縣,"121,22,24","23,05,51",2018-03-19 01:00
基隆,0.00,中央氣象局,基隆市,"121,44,26","25,07,60",2018-03-19 01:00
新屋,0.00,中央氣象局,桃園市,"121,02,51","25,00,24",2018-03-19 01:00
蘭嶼,0.00,中央氣象局,臺東縣,"121,33,30","22,02,13",2018-03-19 01:00
臺東,0.00,中央氣象局,臺東縣,"121,09,17","22,45,08",2018-03-19 01:00
日月潭,0.00,中央氣象局,南投縣,"120,54,29","23,52,53",2018-03-19 01:00
金門,0.00,中央氣象局,金門縣,"118,17,21","24,24,26",2018-03-19 01:00
宜蘭,0.00,中央氣象局,宜蘭縣,"121,45,24","24,45,50",2018-03-19 01:00
澎湖,0.06,中央氣象局,澎湖縣,"119,33,47","23,33,56",2018-03-19 01:00
臺中,0.00,中央氣象局,臺中市,"120,41,03","24,08,45",2018-03-19 01:00
嘉義,0.00,中央氣象局,嘉義市,"120,25,58","23,29,45",2018-03-19 01:00
塔塔加,,環境保護署,嘉義縣,"120,52,50.06","23,28,14.19",2018-03-19 01:00
阿里山,,環境保護署,嘉義縣,"120,48,05.02","23,30,30.82",2018-03-18 23:00
屏東,,環境保護署,屏東縣,"120,29,16.92","22,40,23.09",2018-03-19 00:00
橋頭,,環境保護署,高雄市,"120,18,20.48","22,45,27.02",2018-03-19 00:00
新營,,環境保護署,臺南市,"120,19,2.10","23,18,20.28",2018-03-19 00:00
朴子,,環境保護署,嘉義縣,"120,14,50.46","23,27,55.11",2018-03-19 00:00
斗六,,環境保護署,雲林縣,"120,32,41.98","23,42,42.67",2018-03-19 00:00
南投,,環境保護署,南投縣,"120,41,7.1","23,54,46.8",2018-03-19 00:00
彰化,,環境保護署,彰化縣,"120,32,29.47","24,03,57.60",2018-03-19 00:00
沙鹿,,環境保護署,臺中市,"120,34,7.66","24,13,32.26",2018-03-19 00:00
苗栗,,環境保護署,苗栗縣,"120,49,12.72","24,33,54.97",2018-03-19 00:00
桃園,,環境保護署,桃園市,"121,19,11.87","24,59,41.24",2018-03-19 00:00
板橋,,環境保護署,新北市,"121,27,31.2","25,00,46.7",2018-03-19 00:00
淡水,,環境保護署,新北市,"121,26,57.26","25,09,52.20",2018-03-19 00:00
